
Total incentives compiled: 89

Comprehensive List of Energy Incentives and Grants (NYC/NYS/Westchester):
| Program Name                                                                  | Provider                                         | Level      | Amount Available                          | Deadline/Status         | Qualifying Projects Tags                                                      | Key Requirements                           |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
| NYS Solar Energy System Equipment Tax Credit                                  | NYS Department of Taxation and Finance           | State      | Up to $5,000                              | Ongoing                 | Residential, Solar PV                                                         | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
| NYC Commercial Solar Tax Abatement (CoSTA)                                    | NYC Department of Finance                        | Local/NYC  | 20% of system cost (abatement)            | Through 2029            | Residential Solar, Commercial Solar, Solar PV                                 | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
| NYC Green Roof Tax Abatement (GRTA)                                           | NYC Department of Finance                        | Local/NYC  | Up to $200,000                            | Through 2033            | Green Roofs, Energy Efficiency                                                | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
| Westchester County PACE Program                                               | Westchester County Industrial Development Agency | Local      | 100% project cost                         | Ongoing                 | Energy Efficiency, Resilience                                                 | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
| NYC Accelerator Retrofit Market Development                                   | NYC Accelerator                                  | Local/NYC  | Technical support, workshops              | Ongoing                 | Energy Efficiency, Building Decarbonization                                   | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
| Westchester County EV Charging Station Program                                | Westchester County                               | Local      | Grants for public/workplace chargers      | Annual FOA              | DC Fast Chargers, Level 2 Chargers                                            | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
| NYC Zero Waste Program                                                        | NYC Department of Sanitation                     | Local/NYC  | Technical Assistance                      | Ongoing                 | Waste Reduction, Composting                                                   | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public benefit test                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
| NYC Department of Small Business Services (SBS) Energy Grants                 | NYC SBS                                          | Local/NYC  | Matching funds                            | Rolling basis           | Small Business Efficiency, Equipment Upgrades, Green Business                 | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
| Westchester County Community Choice Aggregation (CCA)                         | Sustainable Westchester                          | Local      | Default green electricity supply          | Ongoing                 | Community Renewable Energy, Energy Choice                                     | * Permitting approval                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Located in disadvantaged community (DAC) |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Reporting requirements                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income eligibility criteria              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Carbon reduction target                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * System sizing limits                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Detailed energy audit                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
| NYC Housing Green Bond Program                                                | NYC Housing Development Corp.                    | Local/NYC  | Low-cost financing                        | Rolling basis           | Sustainable Development, Affordable Housing                                   | * Matching funds required                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage requirements             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Third-party verification required        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Minimum energy savings target            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must comply with local codes             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Project must be shovel-ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job creation metrics                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Community engagement plan                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance monitoring required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Life cycle cost analysis                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor needed              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Specific equipment standards             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Environmental impact assessment          |
